idx,Query,Restaurant Name,Address,URL,Restaurant URL,Cuisines,Number of Reviews,Excellent reviews,Very good reviews,Average reviews,Poor reviews,Terrible reviews
84,L'Ecole,L'Ecole des Filles,"380 avenue Amiral de Grasse, 06620 Le Bar-sur-Loup France",https://www.tripadvisor.com/Restaurant_Review-g675420-d1198311-Reviews-L_Ecole_des_Filles-Le_Bar_sur_Loup_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote.html#REVIEWS,http://www.restaurantecoledesfilles.fr/,"French, Mediterranean, European",746,108,32,8,6,3
98,La Ripaille,La Ripaille,"2/4 rue de la Foire, 34120, Pezenas France",https://www.tripadvisor.com/Restaurant_Review-g616105-d3438415-Reviews-La_Ripaille-Pezenas_Herault_Occitanie.html#REVIEWS,http://www.facebook.com/La-Ripaille-1111729492218827,"Mediterranean, Healthy",428,15,29,5,2,3
112,Le Pescadou,Le Pescadou,"2 Place dei Barri 2 Place Dei Barri, 83580 Gassin, Saint-Tropez France",https://www.tripadvisor.com/Restaurant_Review-g196703-d1160660-Reviews-Le_Pescadou-Gassin_Saint_Tropez_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_.html#REVIEWS,http://www.lepescadou-gassin.com/,"French, Mediterranean, European",1157,114,41,7,6,6
85,L'Entrecote,L'Entrecote,"4 cours du 30 Juillet, 33000, Bordeaux France",https://www.tripadvisor.com/Restaurant_Review-g187079-d803318-Reviews-L_Entrecote-Bordeaux_Gironde_Nouvelle_Aquitaine.html#REVIEWS,http://entrecote.fr/,"French, Steakhouse, European",4719,511,271,78,21,29
99,Landmarc,Landmarc,"179 W Broadway, New York City, NY 10013-2921",https://www.tripadvisor.com/Restaurant_Review-g60763-d424301-Reviews-Landmarc-New_York_City_New_York.html#REVIEWS,http://www.landmarc-restaurant.com/,"American, French",250,72,101,33,15,8
113,Le Refuge,Le Refuge,"144 route de la Bresse, 88400 Gerardmer France",https://www.tripadvisor.com/Restaurant_Review-g196614-d1115511-Reviews-Le_Refuge-Gerardmer_Vosges_Grand_Est.html#REVIEWS,http://www.lerefuge-gerardmer.fr/,,1261,11,8,1,0,0
86,L'Express,L'Express,"3927 rue St-Denis At rue Roy, Montreal, Quebec H2W 2M4 Canada",https://www.tripadvisor.com/Restaurant_Review-g155032-d705775-Reviews-L_Express-Montreal_Quebec.html#REVIEWS,http://www.restaurantlexpress.ca/,"French, European",1248,589,281,91,29,19
100,Le Bernardin,Le Bernardin,"155 W 51st St, New York City, NY 10019-6019",https://www.tripadvisor.com/Restaurant_Review-g60763-d424434-Reviews-Le_Bernardin-New_York_City_New_York.html#REVIEWS,http://www.le-bernardin.com/,French,3594,2222,412,203,58,46
114,Le Rivage,Le Rivage,"340 W 46th St Between 8th and 9th avenue, New York City, NY 10036-3928",https://www.tripadvisor.com/Restaurant_Review-g60763-d424557-Reviews-Le_Rivage-New_York_City_New_York.html#REVIEWS,http://www.lerivagenyc.com/,"French, European",901,427,274,86,42,13
87,La Belle Vie,La Belle Vie,"boulevard de la Plage, 83530 Agay, Saint-Raphael France",https://www.tripadvisor.com/Restaurant_Review-g1080032-d1869947-Reviews-La_Belle_Vie-Agay_Saint_Raphael_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d.html#REVIEWS,http://www.facebook.com/labelleviecafe/,"French, European",498,38,24,7,3,1
101,Le Bilboquet,Le Bilboquet,"20 E 60th St, New York City, NY 10022-1011",https://www.tripadvisor.com/Restaurant_Review-g60763-d423907-Reviews-Le_Bilboquet-New_York_City_New_York.html#REVIEWS,http://lebilboquetny.com/,French,396,144,84,32,20,29
115,Le Singe Vert,Le Cerf Vert,"Avenue Winston-Churchill 32, Dinant 5500 Belgium",https://www.tripadvisor.com/Restaurant_Review-g188662-d14950340-Reviews-Le_Cerf_Vert-Dinant_The_Ardennes_Wallonia.html#REVIEWS,http://www.lecerfvert.be/,,155,35,0,0,3,1
88,La Bergamote,La Bergamote,"120 rue de Lorraine, 88150 Thaon-les-Vosges France",https://www.tripadvisor.com/Restaurant_Review-g2544521-d4584550-Reviews-La_Bergamote-Thaon_les_Vosges_Vosges_Grand_Est.html#REVIEWS,http://www.restaurant-la-bergamote.fr/,"French, European",295,182,79,18,9,7
