name,number_of_reviews,food,service,price,decor,excellent,very_good,average,poor,terrible,sentiment_polarity_x,sentiment_subjectivity_x,InMichelin,Food,Decor,Service,Price,Number of Reviews,Excellent reviews,Very good reviews,Average reviews,Poor reviews,Terrible reviews,sentiment_polarity_y,sentiment_subjectivity_y
Kanda,60.0,45.0,45.0,40.0,45.0,36.0,4.0,2.0,1.0,0.0,0.2728522551124237,0.5617173274440266,,,,,,,,,,,,,
Makimura,14.0,50.0,50.0,50.0,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Osteria Francescana,2689.0,45.0,45.0,40.0,40.0,629.0,120.0,76.0,37.0,41.0,,,,,,,,,,,,,,,
Ristorante Reale,733.0,45.0,45.0,40.0,45.0,31.0,4.0,2.0,2.0,5.0,0.2835735898122204,0.5865871754377362,,,,,,,,,,,,,
La Pergola,2645.0,45.0,45.0,40.0,45.0,709.0,138.0,64.0,30.0,15.0,0.3813262472556702,0.6155674938902151,,,,,,,,,,,,,
Ristorante Villa Crespi,4777.0,50.0,50.0,45.0,50.0,125.0,26.0,12.0,5.0,3.0,0.3691831528509214,0.6212248936309981,,,,,,,,,,,,,
Dal Pescatore,912.0,45.0,45.0,40.0,45.0,65.0,4.0,2.0,1.0,0.0,0.3210565752855771,0.585768770010448,,,,,,,,,,,,,
Da O' Vittorio,1906.0,40.0,40.0,35.0,40.0,51.0,22.0,4.0,1.0,0.0,,,,,,,,,,,,,,,
Ristorante Uliassi,1717.0,50.0,45.0,45.0,45.0,74.0,5.0,3.0,1.0,1.0,0.2861332187531982,0.5658921290853536,,,,,,,,,,,,,
Il Luogo di Aimo e Nadia,1191.0,45.0,45.0,35.0,40.0,178.0,45.0,26.0,11.0,6.0,0.3800100923862967,0.6376025138115021,,,,,,,,,,,,,
Ristorante Enrico Bartolini,381.0,45.0,45.0,40.0,,29.0,1.0,4.0,3.0,2.0,0.3020943263377612,0.6159977006569268,,,,,,,,,,,,,
Restaurant de l’Hotel de Ville Crissier,880.0,50.0,45.0,45.0,45.0,170.0,20.0,7.0,2.0,1.0,0.301420797818295,0.6040420445557222,,,,,,,,,,,,,
Materia,533.0,45.0,45.0,45.0,,78.0,8.0,3.0,4.0,3.0,0.3457171562648543,0.6365189440884428,,,,,,,,,,,,,
Auberge du Cheval Blanc,552.0,50.0,45.0,45.0,45.0,20.0,6.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
Masa,293.0,45.0,40.0,30.0,40.0,121.0,31.0,24.0,20.0,18.0,0.239941817965008,0.6465353161167641,,,,,,,,,,,,,
Kashiwaya,30.0,50.0,50.0,45.0,,14.0,2.0,3.0,1.0,0.0,0.2897480651448613,0.5969114146727067,,,,,,,,,,,,,
Bottiglieria 1881,345.0,50.0,45.0,45.0,45.0,141.0,19.0,6.0,5.0,4.0,,,,,,,,,,,,,,,
Kichisen,104.0,45.0,40.0,35.0,40.0,42.0,12.0,5.0,4.0,12.0,0.2287096062172045,0.5304688149834981,,,,,,,,,,,,,
Gion Sasaki,34.0,50.0,45.0,45.0,,9.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Hajime,95.0,45.0,45.0,40.0,40.0,36.0,5.0,4.0,2.0,2.0,0.2662779029246217,0.6031387023211577,,,,,,,,,,,,,
Taian,51.0,45.0,45.0,40.0,45.0,15.0,5.0,7.0,3.0,1.0,0.1762400325603478,0.4988802884892439,,,,,,,,,,,,,
Kikunoi,300.0,45.0,45.0,40.0,45.0,99.0,16.0,19.0,9.0,8.0,0.2119747951770061,0.5714171833706277,,,,,,,,,,,,,
Inn at Little Washington,945.0,50.0,45.0,40.0,45.0,770.0,89.0,49.0,19.0,9.0,0.2939893173246193,0.5766359012909056,,,,,,,,,,,,,
Restaurant Milka,517.0,45.0,45.0,45.0,40.0,305.0,24.0,5.0,7.0,8.0,0.3965006618522222,0.575875101085383,,,,,,,,,,,,,
Stand Restaurant,321.0,50.0,50.0,45.0,50.0,196.0,9.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Platán Gourmet Restaurant,318.0,45.0,45.0,45.0,45.0,81.0,28.0,6.0,2.0,3.0,0.3718022522632561,0.6263090116441496,,,,,,,,,,,,,
Yu ZhiLan,13.0,45.0,40.0,40.0,,4.0,3.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
El Molino de Urdániz,267.0,45.0,40.0,40.0,35.0,15.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Le Séjour Café,1813.0,45.0,50.0,45.0,45.0,632.0,103.0,21.0,7.0,3.0,0.4212094539141414,0.635637009328304,,,,,,,,,,,,,
Raw,199.0,45.0,45.0,40.0,,57.0,12.0,5.0,3.0,9.0,0.2510320844429216,0.6071091799885399,,,,,,,,,,,,,
Seta,1085.0,45.0,45.0,40.0,,186.0,37.0,8.0,4.0,5.0,0.3656024177019359,0.6760611386084678,,,,,,,,,,,,,
Melisse,325.0,45.0,45.0,35.0,45.0,198.0,48.0,23.0,16.0,10.0,0.2988893946956907,0.5832248860638992,,,,,,,,,,,,,
Melisse,325.0,45.0,45.0,35.0,45.0,198.0,48.0,23.0,16.0,10.0,0.2988893946956907,0.5832248860638992,,,,,,,,,,,,,
Acquerello,361.0,45.0,50.0,45.0,45.0,264.0,38.0,16.0,12.0,8.0,0.3601045134902091,0.6264735644625468,,,,,,,,,,,,,
Providence,805.0,45.0,45.0,40.0,40.0,553.0,110.0,46.0,18.0,7.0,,,,,,,,,,,,,,,
The Butchers Arms,482.0,50.0,45.0,45.0,45.0,412.0,40.0,16.0,5.0,9.0,0.3561798706224145,0.5951954085684515,,,,,,,,,,,,,
Le Manoir aux Quat'Saisons Restaurant,2668.0,50.0,50.0,40.0,45.0,2190.0,239.0,118.0,39.0,17.0,0.4132524540336529,0.6652791543025279,,,,,,,,,,,,,
Lazy Bear,108.0,45.0,45.0,40.0,45.0,74.0,21.0,5.0,4.0,1.0,0.2458892995876291,0.5597348222888223,,,,,,,,,,,,,
Californios,54.0,45.0,50.0,40.0,,41.0,8.0,1.0,2.0,1.0,0.3050989731657622,0.5606551287092587,,,,,,,,,,,,,
Min Jiang at Dempsey,290.0,45.0,40.0,35.0,40.0,105.0,86.0,40.0,10.0,11.0,0.3040328803141303,0.540156635031635,,,,,,,,,,,,,
Imperial Treasure Fine Teochew Cuisine,183.0,45.0,40.0,40.0,35.0,60.0,71.0,22.0,2.0,6.0,,,,,,,,,,,,,,,
Odette,482.0,45.0,45.0,40.0,,318.0,57.0,30.0,12.0,8.0,0.3132077253274841,0.5744931889549679,,,,,,,,,,,,,
Thevar,155.0,45.0,45.0,40.0,40.0,100.0,29.0,11.0,5.0,6.0,0.4603657309384248,0.6475243051936457,,,,,,,,,,,,,
JAAN by Kirk Westaway,780.0,45.0,45.0,40.0,45.0,450.0,122.0,54.0,21.0,16.0,0.5066062990768038,0.6457041439507245,,,,,,,,,,,,,
Le Clos Saint Pierre,446.0,45.0,45.0,40.0,40.0,112.0,19.0,10.0,4.0,1.0,0.3811407338375555,0.5957266747256732,,,,,,,,,,,,,
Soelleroed Kro,397.0,50.0,50.0,45.0,50.0,144.0,28.0,6.0,1.0,0.0,0.4185955270380966,0.5979497770583801,,,,,,,,,,,,,
Alchemist,153.0,50.0,50.0,45.0,,89.0,2.0,0.0,1.0,1.0,0.3029543351776316,0.6596474201126533,,,,,,,,,,,,,
RE- NAA,355.0,45.0,45.0,40.0,40.0,128.0,38.0,7.0,2.0,1.0,,,,,,,,,,,,,,,
Aloe,173.0,50.0,50.0,50.0,,33.0,3.0,3.0,1.0,1.0,0.2925135998555468,0.5724796135892243,,,,,,,,,,,,,
Aira,54.0,50.0,50.0,50.0,,17.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
Bloom in the park,440.0,45.0,40.0,40.0,40.0,128.0,26.0,11.0,17.0,18.0,0.2494440811072508,0.5741389846491219,,,,,,,,,,,,,
Rolfs Koek,1364.0,45.0,45.0,40.0,45.0,402.0,193.0,40.0,15.0,5.0,,,,,,,,,,,,,,,
Restaurant Frederikshoj,307.0,50.0,50.0,45.0,45.0,77.0,8.0,1.0,2.0,0.0,0.375709447376369,0.5231791008529075,,,,,,,,,,,,,
Kiin Kiin,894.0,45.0,45.0,40.0,45.0,381.0,74.0,22.0,24.0,22.0,0.1935296206773609,0.5532065027946536,,,,,,,,,,,,,
Kong Hans Kaelder,325.0,45.0,45.0,40.0,45.0,141.0,34.0,12.0,6.0,2.0,0.1736120163793547,0.4804272953581751,,,,,,,,,,,,,
180 Degrees Restaurant,151.0,50.0,45.0,45.0,45.0,108.0,4.0,9.0,3.0,2.0,0.3925477463957297,0.6234542784604545,,,,,,,,,,,,,
Trèsind Dubai,874.0,45.0,45.0,40.0,45.0,615.0,156.0,36.0,18.0,17.0,0.3676681039586522,0.6245690541729689,,,,,,,,,,,,,
IL RISTORANTE - NIKO ROMITO,507.0,50.0,50.0,45.0,,62.0,8.0,1.0,3.0,1.0,,,,,,,,,,,,,,,
Alleno Paris,866.0,45.0,45.0,40.0,45.0,183.0,26.0,26.0,14.0,14.0,0.3469660097661453,0.6169244200334256,,,,,,,,,,,,,
Akordu,13.0,50.0,50.0,45.0,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
